name;website;country;location;theme;tags;period;public;organization;contacts
Dedica Festival Pordenone;https://dedicafestival.it/;Italy;Via della Motta, 13, 33170 Pordenone PN;humanities;"humanities;literature";march;"general public;school";;info@dedicafestival.it
Didacta;https://exhibitor.fieradidacta.it;Italy;Piazza III Novembre, 5, 38066 Riva del Garda TN;education;"science;teaching";october;"general public;teachers";;cassese.didacta@firenzefiera.it
DIG Festival;https://dig-awards.org/programma-2024/;Italy;Via Santa Chiara, 14, 41121 Modena MO;journalism;"humanities;journalism";september;general public;;
Festival del Verde e del Paesaggio;https://www.festivaldelverdeedelpaesaggio.it;Italy;Via Pietro de Coubertin, 30, 00196 Roma RM;environment;"science;environment;landscape";may;"general public;school";;info@festivaldelverdeedelpaesaggio.it
Trieste Next - Festival della Ricerca Scientifica;https://www.triestenext.it;Italy;Piazza Luigi Amedeo Duca degli Abruzzi, 3, Trieste, TS;science;"science;research;innovation";september;"general public;school;business";;
Emilia Food Fest;https://www.emiliafoodfest.it/;Italy;Piazza Martiri, 41012 Carpi MO;environment;"science;agriculture;food";september;general public;;
Bologna Medicina - Festival della Scienza Medica;https://bolognamedicina.it;Italy;Via Castiglione 36, Bologna BO;medicine;"science;medicine";november;general public;;
Athens Science Festival;https://www.athens-science-festival.gr/en/festival/;Greece;Pireos 100, Athina 118 54, Greece;science;science;april;general public;;schools@athens-science-festival.gr
CarpInScienza;https://www.carpinscienza.it;Italy;Piazza Martiri, 72, 41012 Carpi MO;;science;september;"general public;school";;
Festa del Racconto;https://www.festadelracconto.it;Italy;Via S. Rocco, 1, 41012 Carpi MO;science;"humanities;literature";october;"general public;school";;
Cheltenham Science Festival;https://www.cheltenhamfestivals.org/festivals/science-festival;UK;Imperial Square, Cheltenham GL50 1QA, Regno Unito;science;science;june;"general public;school";;boxoffice@cheltenhamfestivals.org
CICAP Fest;https://www.cicapfest.it/;Italy;Via VIII Febbraio, 2, 35122 Padova PD;science;science;october;"general public;school";;
Festa Internazionale della Storia;https://site.unibo.it/festadellastoria/it;Italy;Via Zamboni, 33, 40126 Bologna BO;humanities;history;april;"general public;school";;
Festambiente Sud;https://festambientesud.it;Italy;Via della Grotta, 14. Rignano Garganico FG;environment;"science;environment;sustainability";july - august;general public;;festambientesud@gmail.com
Edinburgh Science;https://www.edinburghscience.co.uk;UK;Chambers St, Edinburgh EH1 1JF, Regno Unito;science;science;april;"general public;school";;marketing@scifest.co.uk
Esperienza InSegna;https://www.esperienzainsegna.it;Italy;Viale delle Scienze, 90128 Palermo PA;science;science;april;"general public;school";;
Festa della Scienza;https://www.festadellascienza.it;Italy;Via E. De Nicola, 26, 73043 Copertino LE;science;science;may;"general public;school";;festadellascienza@gmail.com
Festival dei caffè scientifici Italiani;https://rete.caffescienza.it/festival-dei-caffè-scientifici-Italyni/SFCSI;Italy;Via Giovanni Sansone, 1, 50019 Sesto Fiorentino FI;science;science;january - february;general public;;
Festival della Meraviglia;https://festivaldellameraviglia.org;Italy;Via Roma, 16, 21014 Laveno-Mombello VA;science;science;may - june;general public;;festivaldellameraviglia2023@gmail.com
Festival della Scienza Alto Vicentino;https://www.fesav.it;Italy;Via Pasubio, 52, 36015 Schio VI;science;science;october;"general public;school";;
Festival della Scienza e della Ricerca;https://www.unitus.it/terza-missione/casi-di-studio/festival-scienza-ricerca/;Italy;Via Santa Maria in Gradi, 4, 01100 Viterbo VT;science;science;september;"general public;school";;festivalscienzaericerca@unitus.it
Festival delle Scienze di Prati di Roma;https://www.liceomamiani.edu.it/pagine/scienza-social-festival-delle-scienze-di-prati-della-vittoria-6-7-8-ottobre-2023;Italy;Viale delle Milizie, 30 - 00192 - Roma RM;science;science;october;school;;
Festival delle Scoperte;https://www.festivalscoperte.it;Italy;Piazzale degli Uffizi, 6, 50122 Firenze FI;science;science;march;general public;;segreteria@festivalscoperte.it
Festival dell'Educazione Scientifica;https://festivaleducazionescientifica.it/;Italy;Piazza di Porta S. Donato, 1, 40127 Bologna BO;science;"science;education";february - march;"general public;school";;info@festivaleducazionescientifica.it
Fosforo: la Festa della Scienza;https://www.fosforoscienza.it/;Italy;Piazza, Via Ottorino Manni, 1, 60019 Senigallia AN;science;science;may;"general public;school";;info@fosforoscienza.it
Le Mille e una Scienza;https://milleunascienza.com;Italy;Via dei Bottai 1, 39100 Bolzano BZ;science;science;november;"general public;school";;info@milleunascienza.com
Lector in Scienza;https://www.uniba.it/it/eventi-alluniversita/2024/allegati/programma-lectorinscienza2024_a3.pdf;Italy;Via S. Benedetto, 70014 Conversano BA;science;science;may;general public;;
L'Isola di Einstein;https://www.isoladieinstein.it/;Italy;Via Isola Polvese, 06063 San Feliciano PG;science;science;september;"general public;school";;
Festival dell'Economia;https://www.festivaleconomia.it;Italy;Via Santa Croce, 67 - 38100 Trento TN;society;"society;economy";may;"general public;business";;
MantovaScienza;https://www.mantovascienza.it;Italy;Via Lorenzo Gandolfo, 11, 46100 Mantova MN;science;science;november;"general public;school";;
NatGeoFest;https://www.nationalgeographic.it/national-geographic-fest-2023;Italy;Piazza Tre Torri, 1/l, 20145 Milano MI;science;science;november;general public;;
Pensa Tu - Il Festival della Scienza e della Curiosità;https://www.pensatu.it;Italy;Via Santa Chiara, snc, 87036 Rende CS;science;science;march;"general public;school";;
Festival Internazionale del Giornalismo;https://www.festivaldelgiornalismo.com;Italy;Piazza IV Novembre, 1, 06123 Perugia PG;journalism;"humanities;journalism";april;general public;;
Pianeta Terra Festival;https://www.pianetaterrafestival.it;Italy;Via Giuseppe Valentini, 14, 59100 Prato PO;science;science;october;"general public;school";;
Piccolo Festival della Divulgazione;https://www.festivaldivulgazione.it/;Italy;Piazza Indipendenza 1 40016 San Giorgio di Piano, Italy;science;science;march;general public;;
Festivaletteratura;https://www.festivaletteratura.it;Italy;Via Angelo Scarsellini, 3/A - Mantova;humanities;"humanities;literature";september;general public;;
festivalfilosofia;https://www.festivalfilosofia.it;Italy;Piazza Martiri, 41012 Carpi MO;;"humanities;science;philosophy";september;"general public;school";;
Science in the City Trieste;https://scienceinthecity2020.eu;Italy;Viale Miramare 345, Trieste, TS;science;science;july - september;general public;;
Science is Wonderful;https://marie-sklodowska-curie-actions.ec.europa.eu/science-is-wonderful;Belgium;Leuvensesteenweg 13, 3080 Tervuren, Belgium;science;science;march;"general public;school";;press-SIW@cecoforma.com
Scienzaestate;https://www.openlab.unifi.it/vp-381-scienzestate-2024.html#;Italy;Piazza San Marco, 450121 Firenze FI;science;science;june - september;"general public;school";;openlab@adm.unifi.it
Settimane della Scienza;https://www.centroscienza.it/settimanedellascienza/;Italy;Museo Nazionale dell’Automobile - Corso Unità d’Italy, 40 Torino, TO;science;science;april - september;general public;;
Spiegamelo!;https://spiegamelo.it/eventi/;Italy;Viale Filippo Corridoni 1, 43039 Salsomaggiore Terme PR;science;science;september;"general public;school";;hello@spiegamelo.it
Arezzo Science Lab;https://www.arezzosciencelab.it/;Italy;Via Bicchieraia, 26, 52100 Arezzo AR;science;science;january - december;general public;;arezzosciencelab@gmail.com
Le case della scienza;https://www.culturaimola.it/festivals/le-case-della-scienza-2025-h2o;Italy;Via Emilia, 80, 40026 Imola BO;science;science;april;"general public;school";;attivita.culturali@comune.imola.bo.it
Green Economy Festival;https://www.greeneconomyfestival.it;Italy;Piazza Giuseppe Garibaldi, Parma, PR;environment;"science;environment;sustainability";march;business;;
International Festival of Generative Arts;https://wiki.ljudmila.org/Adela_(en);UK;Miklošičeva 28 1000 Ljubljana, Slovenia;technology;"science;technology";may;general public;;info@ljudmila.org
International Festival of Science Documentary Films;https://afo.cz/en/home/;Czech Republic;771 80, Univerzitní 225/3, 779 00 Olomouc, Cechia;technology;"science;technology";april;general public;;afo@afo.cz
Scienza e Virgola;https://www.scienzaevirgola.it;Italy;Via Louis Pasteur, 44, 34139 Trieste TS;science;science;may;general public;;ilas@sissa.it
ScienzaInCorto;https://www.cnr.it/it/eventi/allegato/14283;Italy;Via L'Aquila, 66/74, 00176 Roma RM;science;science;april;general public;;eventi.dsu@cnr.it
BariCode;https://baricode.it;Italy;Corso Vittorio Emanuele II, 84, 70122 Bari BA;technology;"science;technology";october;"general public;school";;
BergamoScienza;https://www.bergamoscienza.it;Italy;Viale Papa Giovanni XXIII, 57, 24121 Bergamo BG;science;"science;technology";september - october;"general public;school";;
British Science Festival;https://britishsciencefestival.org;UK;Water Ln, London E15 4LZ, Regno Unito;science;"science;technology";september;general public;;festival@britishscienceassociation.org
Caithness International Science Festival;https://www.science03.org;UK;7 Newton Rd, Wick KW1 5LT, Regno Unito;science;"science;technology";march;school;;festival@science03.org
Cambridge Festival;https://www.festival.cam.ac.uk;UK;The Old Schools, Trinity Ln, Cambridge CB2 1TN, Regno Unito;science;"science;technology";march - april;"general public;school";;cambridgefestival@admin.cam.ac.uk
Co.Scienza Festival;https://www.coscienzafestival.com;Italy;Via Calepina, 14, 38122 Trento TN;science;"science;technology";april;general public;;
E³UDRES² SCIENCE FESTIVAL;https://va.lv/en/news-events/science-festival;International;Cēsu iela 4, Valmiera, LV-4201, Lettonia;science;"science;technology";october;general public;;office@eudres.eu
EuroScience Open Forum;https://www.esof.eu/esof2024;International;plac Sławika i Antalla 1, 40-163 Katowice, Polonia;science;"science;technology";june;general public;;esof2024@euroscience.org
Fermhamente;https://www.fermhamente.it/;Italy;Piazza del Popolo, 57, 63900 Fermo FM;science;"science;technology";october;"general public;school";;
Festa di Scienza e di Filosofia-Virtute e Canoscenza;https://www.festascienzafilosofia.it;Italy;Via Federico Frezzi, 6/8, 06034 Foligno PG;science;"science;technology";april;"general public;school";;
Festival COSMOS;https://cosmos.cittametropolitana.rc.it;Italy;Via dell'Università, 25, 89124 Reggio Calabria RC;science;"science;technology";october;"general public;school";;
Passaggi Festival;https://www.passaggifestival.it/;Italy;Piazza Pier Maria Amiani, 61032 Fano PU;humanities;"humanities;literature";june;general public;;passaggi.info@gmail.com
Festival della Scienza;https://www.festivalscienza.it;Italy;Piazza Giacomo Matteotti, 9, 16123 Genova GE;science;"science;technology";october - november;"general public;school;business";;
Festival della Scienza Ad/ventura;https://www.liceoscientificovasto.edu.it/evento/festival-della-scienza-ad-ventura-26a-edizione-2025/#art-par-cosa;Italy;Via San Rocco 88, 66054 Vasto CH;science;"science;technology";january;school;;
Festival della Scienza di Foggia;https://www.festivaldellascienza.org;Italy;Via Tugini, 55 , 71121 Foggia FG;science;"science;technology";february - march;"general public;school";;
Play - Festival del Gioco;https://www.play-festival.it/home/13950.html;Italy;Viale della Fiera 20, 40127 Bologna BO;technology;"science;technology";april;"general public;school";;info@play-festival.it
Rencontres Internationales Sciences & Cinémas;https://festivalrisc.org;France;59 Cr Julien, 13006 Marseille, France;science;science;december;general public;;serge.dentin@pollymaggoo.org
Festival delle Scienze;https://www.auditorium.com/it/festival/festival-delle-scienze-2024-errori-e-meraviglie/;Italy;Via Pietro de Coubertin, 30, 00196 Roma RM;science;"science;technology";april;"general public;school";;
Festival dell'Innovazione e della Scienza di Settimo Torinese;https://festivaldellinnovazione.settimo-torinese.it;Italy;Piazza Campidoglio 50, Settimo Torinese, TO;science;"science;technology";october;"general public;school;business";;
FestivalScienza;https://festivalscienzacagliari.it/;Italy;Via Università, 40, 09124 Cagliari CA;science;"science;technology";november;"general public;school";;segreteria@festivalscienzacagliari.it
Focus Live;https://live.focus.it;Italy;Via Olona 6 bis, Milano MI;science;"science;technology";november;general public;;redazione@focus.it
Food&Science Festival;https://www.foodsciencefestival.it;Italy;Piazza Leon Battista Alberti, 46100 Mantova;science;"science;technology";may;"general public;business";;
FUTURO REMOTO;https://www.futuroremoto.eu;Italy;Via Coroglio, 57, 80124  Napoli NA;science;"science;technology";october - december;"general public;school";;
Galileo - Festival della scienza e innovazione;https://www.galileofestival.it;Italy;Via VIII Febbraio, 15, 35122 Padova PD;science;"science;technology";may;"general public;business";;
Glasgow Science Festival;https://www.gla.ac.uk/events/sciencefestival/;UK;Glasgow G12 8QQ, Regno Unito;science;"science;technology";june;"general public;school";;sciencefestival@glasgow.ac.uk
Scienzainscena - Festival di Teatro e Scienza;https://www.pacta.org/scienzainscena-teatroinmatematica/;Italy;Via Ulisse Dini 7, 20142 Milano MI;science;science;january - february;general public;;biglietteria@pacta.org
Maker Faire;https://makerfairerome.eu/it/;Italy;Via del Commercio, 9/11, 00154 Roma RM;technology;"science;technology";october;"general public;school;business";;
Malnisio Science Festival;https://malnisiosciencefestival.eu;Italy;Via Alessandro Volta, 27, 33086 Montereale Valcellina PN;science;"science;technology";november;general public;;
Manchester Science Festival;https://www.scienceandindustrymuseum.org.uk/manchester-science-festival/about;UK;Liverpool Rd, Manchester M3 4JP, Regno Unito;science;"science;technology";october;"general public;school";;info@sciencemuseumgroup.ac.uk
Mese della Ciminiera Scientifica;https://www.csfnsm.it/CiminieraScientifica/Ciminiera_1page.html#hero;Italy;Via Simeto, 23, 95131 Catania CT;science;"science;technology";may - june;"general public;school";;
Nottinghamshire Festival of Science and Curiosity;https://nottsfosac.co.uk;UK;Wollaton Hall, 2 Wollaton Hall, Nottingham, Regno Unito;science;"science;technology";february;"general public;school";;info@nottsfosac.co.uk
Oxford Science+Ideas Festival;https://if-oxford.com/;UK;Douglas Downes Cl, Quarry Rd, Headington, Oxford OX3 8SB, Regno Unito;science;"science;technology";october - november;general public;;info@if-oxford.com
Science in the City Malta;https://scienceinthecity.org.mt;Malta;VGX8+QGF, Merchants St, Valletta, Malta;science;"science;technology";september;"general public;school";;sitc@um.edu.mt
Science on Stage Europe;https://www.science-on-stage.eu;Lithuania;Danės g. 17, Klaipėda, 92117 Klaipėdos m. sav., Lithuania;education;"science;technology";may;Insegnanti;;info@science-on-stage.eu
Science4All - La festa delle scienze;https://science4all.it;Italy;Corso Giuseppe Garibaldi, 39, 35121 Padova PD;science;"science;technology";september;"general public;school";;
Scienza e virgola;https://www.scienzaevirgola.it;Italy;Via Bonomea, 265, 34136 Trieste TS;science;"science;technology";may;"general public;school";;ilas@sissa.it
Sperimentando;https://sperimentandoaps.wordpress.com;Italy;Via E. Scrovegni, 30, 35121 Padova PD;science;"science;technology";march - april;school;;
OltreConfine;http://www.oltreconfinefestival.it/;Italy;Via Marconi, 9, 25040 Gianico BS;humanities;"humanities;literature";march - may;general public;;http://www.oltreconfinefestival.it/contatti.php
The Big Bang Fair;https://www.thebigbang.org.uk/the-big-bang-fair/;UK;Pendigo Way, Marston Green, Birmingham B40 1NT, Regno Unito;science;"science;technology";june;school;;info@thebigbang.org.uk
Radiowave Festival;https://www.geoscienze.unipd.it/radiowave-festival-10-e-11-aprile-2024;Italy;Via Giovanni Gradenigo, 6/A, 35131 Padova PD;science;"science;technology";april;general public;;https://www.instagram.com/radiowavefestival/
Maker Faire Trieste;https://trieste.makerfaire.com;Italy;Piazza Unità d'Italy, 34121 Trieste TS;technology;"science;technology";may;"general public;school;business";;makerfairetrieste@gmail.com
We Make Future;https://www.wemakefuture.it/;Italy;Bologna Fiere ingresso Ovest Costituzione, Piazza della Costituzione, 4b, 40128 Bologna BO;technology;"science;technology";june;"general public;business";;
Festival della cultura tecnica;https://www.festivalculturatecnica.it;Italy;Piazza del Nettuno 1/C, Bologna;technology;"science;technology;edu";october - december;"general public;school;business";;
Passaggi Festival della Saggistica;https://www.passaggifestival.it/;Italy;Piazza Sansovino, 3, 61032 Fano PU;humanities;"humanities;literature";june;general public;;passaggi.info@gmail.com
carpaneda ecofestival;https://www.piccionaia.org/terrestridestate/carpaneda-ecofestival/;Italy;Str. della Carpaneda, 141, 36100 Vicenza VI;environment;"science;environment;sustainability";september;general public;;info@teatroastra.it
Festival dello Sviluppo Sostenibile;https://2024.festivalsvilupposostenibile.it;Italy;Via Milano 9A, Roma, RM;environment;"science;environment;sustainability";may;"general public;school;business";;
Festival del Presente;https://www.pandorarivista.it/festival/festival-edizione-2024/;Italy;Via Speranza, 42, 40133 Bologna BO;society;society;october;general public;;pandora@pandorarivista.it
Una sola Terra;https://unasolaterra.it;Italy;Via Giovanni Piamarta 4, 25121 Brescia BS;environment;"science;environment;sustainability";october;general public;;info@unasolaterra.it
Green&Blue Festival;https://eventi.greenandblue.it/25?li_fat_id=ac4526b9-cff2-4b7f-a6e4-5d56524fb420;Italy;Via San Vittore, 21, 20123 Milano MI;environment;"science;environment;sustainability";june;general public;;N.D.
Kàlamos - Festival della cultura classica;https://www.aicclodi.it/kalamos-festival/;Italy;Via Tito Fanfulla, 3, 26900 Lodi LO;humanities;"humanities;literature";may;general public;;aicc.lodi@gmail.com
Com'è? Festival performativo diffuso;https://www.cuboteatro.it/come-festival-performativo/;Italy;Via Giorgio Pallavicino, 35, 10153 Torino TO;society;society;october - november;general public;;direzione@cuboteatro.it
il Verde e il Blu Festival;https://verdeblufestival.it;Italy;Piazza Manfredo Fanti, 47, 00185 Roma RM;environment;"science;environment;sustainability";june;"general public;business";;segreteria@verdeblufestival.it
Festival Carta dellla Terra;https://fondazione.cogeme.net/wp-content/uploads/2025/04/Programma_Festival_CartaDellaTerra_2025.pdf;Italy;Via Cardinal Querini, 9, 25121 Brescia BS;environment;"science;environment;sustainability";april - may;"general public;school";;segreteria.fondazione@cogeme.net
Space Festival Torino;https://www.spacefestival.it;Italy;Strada Vicinale della Berlia, 500, 10146 Torino TO;science;"science;physics;space";may;general public;;
Festival del Sarà;https://festivaldelsara.com/chi-siamo/;Italy;Piazza del Nettuno, 3, 40124 Bologna BO;environment;"science;environment;sustainability";may;"general public;business";;info@festivaldelsara.com
Starmus;https://www.starmus.com;Spain;38769, Santa Cruz de Tenerife, Spain;science;"science;physics;space";april;general public;;info@starmus.com
Biennale Tecnologia;https://www.biennaletecnologia.it;Italy;Corso Castelfidardo 30/a, Torino, TO;technology;"science;technology";april;"general public;school;business";;
