name;website;country;location;theme;tags;period;public;organization;contacts;lat;lon
Festivaletteratura;https://www.festivaletteratura.it;Italy;Via Angelo Scarsellini, 3/A - Mantova;humanities;"humanities;literature";september;general public;;;45.16007;10.78855
festivalfilosofia;https://www.festivalfilosofia.it;Italy;Piazza Martiri, 41012 Carpi MO;;"humanities;science;philosophy";september;"general public;school";;;44.783353;10.885297
Science in the City Trieste;https://scienceinthecity2020.eu;Italy;Viale Miramare 345, Trieste, TS;science;science;july - september;general public;;;45.704515;13.713429
Science is Wonderful;https://marie-sklodowska-curie-actions.ec.europa.eu/science-is-wonderful;Belgium;Leuvensesteenweg 13, 3080 Tervuren, Belgium;science;science;march;"general public;school";;press-SIW@cecoforma.com;50.832339;4.520098
Scienzaestate;https://www.openlab.unifi.it/vp-381-scienzestate-2024.html#;Italy;Piazza San Marco, 450121 Firenze FI;science;science;june - september;"general public;school";;openlab@adm.unifi.it;43.777868;11.258774
Settimane della Scienza;https://www.centroscienza.it/settimanedellascienza/;Italy;Museo Nazionale dell’Automobile - Corso Unità d’Italy, 40 Torino, TO;science;science;april - september;general public;;;42.638426;12.674297
Spiegamelo!;https://spiegamelo.it/eventi/;Italy;Viale Filippo Corridoni 1, 43039 Salsomaggiore Terme PR;science;science;september;"general public;school";;hello@spiegamelo.it;42.638426;12.674297
Arezzo Science Lab;https://www.arezzosciencelab.it/;Italy;Via Bicchieraia, 26, 52100 Arezzo AR;science;science;january - december;general public;;arezzosciencelab@gmail.com;43.465236;11.882396
Le case della scienza;https://www.culturaimola.it/festivals/le-case-della-scienza-2025-h2o;Italy;Via Emilia, 80, 40026 Imola BO;science;science;april;"general public;school";;attivita.culturali@comune.imola.bo.it;44.354684;11.711281
Green Economy Festival;https://www.greeneconomyfestival.it;Italy;Piazza Giuseppe Garibaldi, Parma, PR;environment;"science;environment;sustainability";march;business;;;44.808431;10.180092
International Festival of Generative Arts;https://wiki.ljudmila.org/Adela_(en);UK;Miklošičeva 28 1000 Ljubljana, Slovenia;technology;"science;technology";may;general public;;info@ljudmila.org;46.055795;14.508043
International Festival of Science Documentary Films;https://afo.cz/en/home/;Czech Republic;771 80, Univerzitní 225/3, 779 00 Olomouc, Cechia;technology;"science;technology";april;general public;;afo@afo.cz;49.743905;15.338106
Scienza e Virgola;https://www.scienzaevirgola.it;Italy;Via Louis Pasteur, 44, 34139 Trieste TS;science;science;may;general public;;ilas@sissa.it;45.639031;13.825305
ScienzaInCorto;https://www.cnr.it/it/eventi/allegato/14283;Italy;Via L'Aquila, 66/74, 00176 Roma RM;science;science;april;general public;;eventi.dsu@cnr.it;41.890584;12.525308
BariCode;https://baricode.it;Italy;Corso Vittorio Emanuele II, 84, 70122 Bari BA;technology;"science;technology";october;"general public;school";;;41.125518;16.86789
BergamoScienza;https://www.bergamoscienza.it;Italy;Viale Papa Giovanni XXIII, 57, 24121 Bergamo BG;science;"science;technology";september - october;"general public;school";;;45.691633;9.674189
British Science Festival;https://britishsciencefestival.org;UK;Water Ln, London E15 4LZ, Regno Unito;science;"science;technology";september;general public;;festival@britishscienceassociation.org;51.543269;0.008998
Caithness International Science Festival;https://www.science03.org;UK;7 Newton Rd, Wick KW1 5LT, Regno Unito;science;"science;technology";march;school;;festival@science03.org;58.437125;-3.10253
Cambridge Festival;https://www.festival.cam.ac.uk;UK;The Old Schools, Trinity Ln, Cambridge CB2 1TN, Regno Unito;science;"science;technology";march - april;"general public;school";;cambridgefestival@admin.cam.ac.uk;52.205331;0.11692
Co.Scienza Festival;https://www.coscienzafestival.com;Italy;Via Calepina, 14, 38122 Trento TN;science;"science;technology";april;general public;;;46.066775;11.123058
E³UDRES² SCIENCE FESTIVAL;https://va.lv/en/news-events/science-festival;International;Cēsu iela 4, Valmiera, LV-4201, Lettonia;science;"science;technology";october;general public;;office@eudres.eu;57.534941;25.424083
EuroScience Open Forum;https://www.esof.eu/esof2024;International;plac Sławika i Antalla 1, 40-163 Katowice, Polonia;science;"science;technology";june;general public;;esof2024@euroscience.org;50.266248;19.027622
Fermhamente;https://www.fermhamente.it/;Italy;Piazza del Popolo, 57, 63900 Fermo FM;science;"science;technology";october;"general public;school";;;43.161236;13.718328
Festa di Scienza e di Filosofia-Virtute e Canoscenza;https://www.festascienzafilosofia.it;Italy;Via Federico Frezzi, 6/8, 06034 Foligno PG;science;"science;technology";april;"general public;school";;;42.954136;12.700183
Festival COSMOS;https://cosmos.cittametropolitana.rc.it;Italy;Via dell'Università, 25, 89124 Reggio Calabria RC;science;"science;technology";october;"general public;school";;;42.638426;12.674297
Passaggi Festival;https://www.passaggifestival.it/;Italy;Piazza Pier Maria Amiani, 61032 Fano PU;humanities;"humanities;literature";june;general public;;passaggi.info@gmail.com;43.844674;13.015626
Festival della Scienza;https://www.festivalscienza.it;Italy;Piazza Giacomo Matteotti, 9, 16123 Genova GE;science;"science;technology";october - november;"general public;school;business";;;44.407643;8.93306
Festival della Scienza Ad/ventura;https://www.liceoscientificovasto.edu.it/evento/festival-della-scienza-ad-ventura-26a-edizione-2025/#art-par-cosa;Italy;Via San Rocco 88, 66054 Vasto CH;science;"science;technology";january;school;;;42.134342;14.705691
Festival della Scienza di Foggia;https://www.festivaldellascienza.org;Italy;Via Tugini, 55 , 71121 Foggia FG;science;"science;technology";february - march;"general public;school";;;41.460727;15.550712
Play - Festival del Gioco;https://www.play-festival.it/home/13950.html;Italy;Viale della Fiera 20, 40127 Bologna BO;technology;"science;technology";april;"general public;school";;info@play-festival.it;44.508691;11.367002
Rencontres Internationales Sciences & Cinémas;https://festivalrisc.org;France;59 Cr Julien, 13006 Marseille, France;science;science;december;general public;;serge.dentin@pollymaggoo.org;46.603354;1.888334
Festival delle Scienze;https://www.auditorium.com/it/festival/festival-delle-scienze-2024-errori-e-meraviglie/;Italy;Via Pietro de Coubertin, 30, 00196 Roma RM;science;"science;technology";april;"general public;school";;;41.92914;12.471575
Festival dell'Innovazione e della Scienza di Settimo Torinese;https://festivaldellinnovazione.settimo-torinese.it;Italy;Piazza Campidoglio 50, Settimo Torinese, TO;science;"science;technology";october;"general public;school;business";;;45.135925;7.766377
FestivalScienza;https://festivalscienzacagliari.it/;Italy;Via Università, 40, 09124 Cagliari CA;science;"science;technology";november;"general public;school";;segreteria@festivalscienzacagliari.it;39.217585;9.115005
Focus Live;https://live.focus.it;Italy;Via Olona 6 bis, Milano MI;science;"science;technology";november;general public;;redazione@focus.it;45.460289;9.17172
Food&Science Festival;https://www.foodsciencefestival.it;Italy;Piazza Leon Battista Alberti, 46100 Mantova;science;"science;technology";may;"general public;business";;;45.159345;10.79407
FUTURO REMOTO;https://www.futuroremoto.eu;Italy;Via Coroglio, 57, 80124  Napoli NA;science;"science;technology";october - december;"general public;school";;;40.804722;14.17454
Galileo - Festival della scienza e innovazione;https://www.galileofestival.it;Italy;Via VIII Febbraio, 15, 35122 Padova PD;science;"science;technology";may;"general public;business";;;45.407692;11.877095
Glasgow Science Festival;https://www.gla.ac.uk/events/sciencefestival/;UK;Glasgow G12 8QQ, Regno Unito;science;"science;technology";june;"general public;school";;sciencefestival@glasgow.ac.uk;55.861155;-4.250169
Scienzainscena - Festival di Teatro e Scienza;https://www.pacta.org/scienzainscena-teatroinmatematica/;Italy;Via Ulisse Dini 7, 20142 Milano MI;science;science;january - february;general public;;biglietteria@pacta.org;45.428975;9.179839
Maker Faire;https://makerfairerome.eu/it/;Italy;Via del Commercio, 9/11, 00154 Roma RM;technology;"science;technology";october;"general public;school;business";;;41.870583;12.477988
Malnisio Science Festival;https://malnisiosciencefestival.eu;Italy;Via Alessandro Volta, 27, 33086 Montereale Valcellina PN;science;"science;technology";november;general public;;;46.148814;12.636242
Manchester Science Festival;https://www.scienceandindustrymuseum.org.uk/manchester-science-festival/about;UK;Liverpool Rd, Manchester M3 4JP, Regno Unito;science;"science;technology";october;"general public;school";;info@sciencemuseumgroup.ac.uk;53.476772;-2.256197
Mese della Ciminiera Scientifica;https://www.csfnsm.it/CiminieraScientifica/Ciminiera_1page.html#hero;Italy;Via Simeto, 23, 95131 Catania CT;science;"science;technology";may - june;"general public;school";;;37.509368;15.099267
Nottinghamshire Festival of Science and Curiosity;https://nottsfosac.co.uk;UK;Wollaton Hall, 2 Wollaton Hall, Nottingham, Regno Unito;science;"science;technology";february;"general public;school";;info@nottsfosac.co.uk;54.702354;-3.276575
Oxford Science+Ideas Festival;https://if-oxford.com/;UK;Douglas Downes Cl, Quarry Rd, Headington, Oxford OX3 8SB, Regno Unito;science;"science;technology";october - november;general public;;info@if-oxford.com;54.702354;-3.276575
Science in the City Malta;https://scienceinthecity.org.mt;Malta;VGX8+QGF, Merchants St, Valletta, Malta;science;"science;technology";september;"general public;school";;sitc@um.edu.mt;35.931144;14.395163
Science on Stage Europe;https://www.science-on-stage.eu;Lithuania;Danės g. 17, Klaipėda, 92117 Klaipėdos m. sav., Lithuania;education;"science;technology";may;Insegnanti;;info@science-on-stage.eu;55.35;23.75
Science4All - La festa delle scienze;https://science4all.it;Italy;Corso Giuseppe Garibaldi, 39, 35121 Padova PD;science;"science;technology";september;"general public;school";;;45.410028;11.878077
Scienza e virgola;https://www.scienzaevirgola.it;Italy;Via Bonomea, 265, 34136 Trieste TS;science;"science;technology";may;"general public;school";;ilas@sissa.it;45.67868;13.772623
Sperimentando;https://sperimentandoaps.wordpress.com;Italy;Via E. Scrovegni, 30, 35121 Padova PD;science;"science;technology";march - april;school;;;42.638426;12.674297
OltreConfine;http://www.oltreconfinefestival.it/;Italy;Via Marconi, 9, 25040 Gianico BS;humanities;"humanities;literature";march - may;general public;;http://www.oltreconfinefestival.it/contatti.php;45.865161;10.180503
The Big Bang Fair;https://www.thebigbang.org.uk/the-big-bang-fair/;UK;Pendigo Way, Marston Green, Birmingham B40 1NT, Regno Unito;science;"science;technology";june;school;;info@thebigbang.org.uk;52.450117;-1.715669
Radiowave Festival;https://www.geoscienze.unipd.it/radiowave-festival-10-e-11-aprile-2024;Italy;Via Giovanni Gradenigo, 6/A, 35131 Padova PD;science;"science;technology";april;general public;;https://www.instagram.com/radiowavefestival/;45.409028;11.894459
Maker Faire Trieste;https://trieste.makerfaire.com;Italy;Piazza Unità d'Italy, 34121 Trieste TS;technology;"science;technology";may;"general public;school;business";;makerfairetrieste@gmail.com;42.638426;12.674297
We Make Future;https://www.wemakefuture.it/;Italy;Bologna Fiere ingresso Ovest Costituzione, Piazza della Costituzione, 4b, 40128 Bologna BO;technology;"science;technology";june;"general public;business";;;42.638426;12.674297
Festival della cultura tecnica;https://www.festivalculturatecnica.it;Italy;Piazza del Nettuno 1/C, Bologna;technology;"science;technology;edu";october - december;"general public;school;business";;;44.494446;11.34264
Passaggi Festival della Saggistica;https://www.passaggifestival.it/;Italy;Piazza Sansovino, 3, 61032 Fano PU;humanities;"humanities;literature";june;general public;;passaggi.info@gmail.com;43.841346;13.020106
carpaneda ecofestival;https://www.piccionaia.org/terrestridestate/carpaneda-ecofestival/;Italy;Str. della Carpaneda, 141, 36100 Vicenza VI;environment;"science;environment;sustainability";september;general public;;info@teatroastra.it;42.638426;12.674297
Festival dello Sviluppo Sostenibile;https://2024.festivalsvilupposostenibile.it;Italy;Via Milano 9A, Roma, RM;environment;"science;environment;sustainability";may;"general public;school;business";;;41.89773;12.491656
Festival del Presente;https://www.pandorarivista.it/festival/festival-edizione-2024/;Italy;Via Speranza, 42, 40133 Bologna BO;society;society;october;general public;;pandora@pandorarivista.it;44.505161;11.296464
Una sola Terra;https://unasolaterra.it;Italy;Via Giovanni Piamarta 4, 25121 Brescia BS;environment;"science;environment;sustainability";october;general public;;info@unasolaterra.it;45.541401;10.229223
Green&Blue Festival;https://eventi.greenandblue.it/25?li_fat_id=ac4526b9-cff2-4b7f-a6e4-5d56524fb420;Italy;Via San Vittore, 21, 20123 Milano MI;environment;"science;environment;sustainability";june;general public;;N.D.;45.461781;9.170587
Kàlamos - Festival della cultura classica;https://www.aicclodi.it/kalamos-festival/;Italy;Via Tito Fanfulla, 3, 26900 Lodi LO;humanities;"humanities;literature";may;general public;;aicc.lodi@gmail.com;45.31606;9.504404
Com'è? Festival performativo diffuso;https://www.cuboteatro.it/come-festival-performativo/;Italy;Via Giorgio Pallavicino, 35, 10153 Torino TO;society;society;october - november;general public;;direzione@cuboteatro.it;45.073265;7.703416
il Verde e il Blu Festival;https://verdeblufestival.it;Italy;Piazza Manfredo Fanti, 47, 00185 Roma RM;environment;"science;environment;sustainability";june;"general public;business";;segreteria@verdeblufestival.it;41.897568;12.502755
Festival Carta dellla Terra;https://fondazione.cogeme.net/wp-content/uploads/2025/04/Programma_Festival_CartaDellaTerra_2025.pdf;Italy;Via Cardinal Querini, 9, 25121 Brescia BS;environment;"science;environment;sustainability";april - may;"general public;school";;segreteria.fondazione@cogeme.net;42.638426;12.674297
Space Festival Torino;https://www.spacefestival.it;Italy;Strada Vicinale della Berlia, 500, 10146 Torino TO;science;"science;physics;space";may;general public;;;42.638426;12.674297
Festival del Sarà;https://festivaldelsara.com/chi-siamo/;Italy;Piazza del Nettuno, 3, 40124 Bologna BO;environment;"science;environment;sustainability";may;"general public;business";;info@festivaldelsara.com;44.494773;11.341423
Starmus;https://www.starmus.com;Spain;38769, Santa Cruz de Tenerife, Spain;science;"science;physics;space";april;general public;;info@starmus.com;28.633484;-17.899974
Biennale Tecnologia;https://www.biennaletecnologia.it;Italy;Corso Castelfidardo 30/a, Torino, TO;technology;"science;technology";april;"general public;school;business";;;45.065246;7.657786
